"Route","Success","ProductionRiskScore","ProductionRiskLevel","ScopedIncidentCount","ScopedCriticalCount","BalancedRiskScore","ProviderWeightedScore","AverageProviderWeight","AverageFreshnessWeight","StaleProviderIncidents","AverageTypeSeverityWeight","TypeSeverityWeightedIncidents","TypeSeverityWeightedCritical","TypeSeverityWeightedScore","TypeSeverityWeightedLevel","MidpointAverageCongestion","RouteAverageCongestion","RouteP75Congestion","RouteMaximumCongestion","CongestionDifference","CongestionReductionPercent","RouteCandidateTrafficScore","RouteCandidateTrafficLevel","RouteCandidateCongestionInput","RouteCandidateIncidentInput","RouteCandidateCriticalInput","AverageCongestion","AverageDelay","Error"
"Ottery to Bishop Lavis","True","100","critical","42","25","83","76","0,64","0,985","3","0,721","20,91","17,56","75","high","81","57","59","68","-24","29,6","63","medium","59","20,91","17,56","81","20",
"Bishop Lavis to Ottery","True","100","critical","42","25","83","76","0,64","0,985","3","0,721","20,91","17,56","75","high","81","58","65","68","-23","28,4","66","high","65","20,91","17,56","81","20",
"Cape Town CBD to Airport","True","100","critical","44","27","83","77","0,633","0,985","3","0,732","21,82","18,48","76","high","81","64","66","75","-17","21","68","high","66","21,82","18,48","81","20",
"Bellville to Mitchells Plain","True","100","critical","30","18","80","73","0,64","0,978","3","0,73","15,04","12,5","72","high","84","63","64","68","-21","25","61","medium","64","15,04","12,5","84","21",
"Claremont to Century City","True","100","critical","41","24","81","74","0,621","0,984","3","0,716","19,55","16,2","73","high","79","60","64","69","-19","24,1","65","high","64","19,55","16,2","79","20",
