"Event","From","To","LengthMeters","DelaySeconds","Magnitude","PointCount","StartLongitude","StartLatitude","EndLongitude","EndLatitude"
"Stationary traffic","Umdaniso Street","Ipiyano Street","172","228","3","17","18,6828825992","-33,9976791548","18,6841097099","-33,9965996048"
"Queuing traffic","Tembalethu Street","Ziqhamo Avenue","681","220","2","27","18,6779486757","-34,0042492076","18,6844825369","-34,0037798307"
"Stationary traffic","Protea Road - Cecil Morgan Road (Brackenfell Boulevard)","Old Paarl Road (Brackenfell Boulevard)","292","143","3","9","18,6847668511","-33,8840835739","18,6831843477","-33,8818077354"
"Slow traffic","Spine Road (N2)","Mew Way (N2)","1488","41","1","9","18,6853864413","-34,0244596914","18,6711090428","-34,0182262076"
"Stationary traffic","Memento Drive","Brackenfell Boulevard","254","177","3","10","18,6834632975","-33,8437083191","18,6856962365","-33,8423698575"
"Queuing traffic","Range Road (Stellenbosch Road/M12)","New Nooiensfontein Drive (Stellenbosch Road/M12)","732","109","2","13","18,6862004918","-33,9562524793","18,6783255261","-33,9563369520"
"Queuing traffic","Belami Close","Langeberg Road (M15)","1182","198","2","42","18,6843403798","-33,8490271497","18,6841861528","-33,8393443531"
"Stationary traffic","Khwezi Avenue / Uvumendlini Road","Lukhanyo Street","780","494","3","26","18,6870279533","-34,0030623844","18,6791596931","-34,0035867288"
"Stationary traffic","N2 (Spine Road/M32)","Lansdowne Road (Spine Road/M32)","944","588","3","28","18,6871848625","-34,0327691796","18,6798208576","-34,0378144243"
"Slow traffic","Lisbon Street","Narvik Street","542","142","1","10","18,6854990941","-33,8215385049","18,6885018271","-33,8222653497"
"Queuing traffic","Old Oak Way (N1)","Okavango Road (N1)","3438","239","2","54","18,6602474373","-33,8762019388","18,6919055504","-33,8601529213"
"Queuing traffic","Old Faure Road (Spine Road/M32)","N2 (Spine Road/M32)","952","152","2","18","18,6921657246","-34,0179244805","18,6898818237","-34,0262151577"
"Stationary traffic","Okavango Road (M15)","Fairtrees Road (M15)","798","157","3","23","18,6929797751","-33,8385169120","18,6844195050","-33,8391981503"
"Queuing traffic","Brackenfell Boulevard (R101)","Windmeul Street (R101)","876","128","2","22","18,6853609604","-33,8802963214","18,6930226904","-33,8756480683"
"Slow traffic","Bermuda Street","Kingston Road","180","87","1","4","18,6935980242","-34,0018460124","18,6922502142","-34,0028759516"
"Stationary traffic","Dombeya Avenue","Okavango Road (M137) / Tanner Road","136","110","3","17","18,6943383139","-33,8493865577","18,6957692724","-33,8494871471"
"Stationary traffic","Van Riebeeck Road (Van Riebeek Road)","Stellenbosch Road (Van Riebeek Road)","1108","569","3","32","18,6899944764","-33,9427421638","18,6958135289","-33,9514553350"
"Stationary traffic","Langeberg Road (M15) (Okavango Road)","N1 (Okavango Road)","900","295","3","33","18,6954755706","-33,8505935533","18,6960428578","-33,8583464872"
"Stationary traffic","Brackenfell East [29]","Okavango Road (M137)","320","294","3","8","18,6984984201","-33,8563160216","18,6960428578","-33,8583464872"
"Stationary traffic","Hlanga Crescent","Japhta K. Masemola Road (M9) / Lindela Road","235","230","3","6","18,6986472827","-34,0447291208","18,6986942214","-34,0468427428"
"Stationary traffic","Van Riebeeck Street (M25)","Okavango Road (M25)","563","195","3","15","18,7042276186","-33,8605512602","18,6990013343","-33,8631409396"
"Stationary traffic","Goldbel Street","Goldbel Street","138","124","3","3","18,7046420199","-34,0018567135","18,7048606199","-34,0030837863"
"Stationary traffic","Tambotie Street","Tambotie Street","267","385","3","5","18,7047479671","-34,0041406015","18,7058798593","-34,0057123543"
"Stationary traffic","Kruisfontein Way (R101)","Okavango Road (R101)","328","162","3","13","18,7030662221","-33,8693582996","18,7058932704","-33,8675652141"
"Stationary traffic","Lansdowne Road - M9 (Fukutha Road)","Walter Sisulu Road - M45 (Fukutha Road)","236","146","3","6","18,7085231763","-34,0518597884","18,7069688362","-34,0535106587"
"Queuing traffic","Tutu Avenue / Khalipha Crescent","Japhta K. Masemola Road (M9)","182","96","2","20","18,7127315623","-34,0464215922","18,7140015882","-34,0472329858"
"Stationary traffic","Kraaifontein [32]","Van Riebeeck Street (M15)","166","144","3","10","18,7168447298","-33,8443829025","18,7157477063","-33,8455603824"
"Queuing traffic","Camelia Street","Clivia Street","182","85","2","3","18,7156390768","-33,7935107895","18,7175944072","-33,7936971930"
"Stationary traffic","Walter Sisulu Road - M45 (R310)","Macassar Road (R310)","1210","248","3","21","18,7120234591","-34,0578384501","18,7185036761","-34,0484573887"
"Stationary traffic","Fukutha Road (M9)","Baden Powell Drive (M9)","560","168","3","14","18,7127141279","-34,0469607396","18,7185036761","-34,0484573887"
"Stationary traffic","N2 (J38) (M9)","Fukutha Road (M9)","800","247","3","18","18,7208586556","-34,0493707136","18,7127141279","-34,0469607396"
"Stationary traffic","Voortrekker Road (R101) / Perth Road","Van Riebeeck Street (M15)","131","130","3","2","18,7203530592","-33,8523007488","18,7214755636","-33,8515792410"
"Stationary traffic","Okavango Road (M15)","Voortrekker Road (M15)","1799","812","3","64","18,7069581073","-33,8413680513","18,7214755636","-33,8515792410"
"Stationary traffic","Ultra Avenue","La Boheme Avenue / Melody Street","205","174","3","8","18,7225873393","-33,8699148555","18,7214527649","-33,8683269529"
"Stationary traffic","Voortrekker Road (M15)","N1 (M15)","1343","509","3","30","18,7238841873","-33,8541742739","18,7146801871","-33,8448830933"
"Stationary traffic","Church Street","Van Riebeeck Street (M15)","285","304","3","5","18,7239110094","-33,8500021352","18,7214755636","-33,8515792410"
"Queuing traffic","3rd Avenue","1st Avenue","189","143","2","10","18,7256987017","-33,8540026199","18,7269754332","-33,8553262817"
"Queuing traffic","Old Faure Road (R310)","Walter Sisulu Road - M45 (R310)","2253","428","2","35","18,7279021364","-34,0324312448","18,7172618133","-34,0506460602"
"Stationary traffic","Boesak Road","Coffee Crescent / Mayonga Crescent","237","252","3","8","18,7312186879","-33,8621256654","18,7294229490","-33,8616697034"
"Slow traffic","Sabatha","Grootboom Avenue","315","92","1","13","18,7326724452","-33,8575082325","18,7308860940","-33,8551465556"
"Stationary traffic","R304 (R101)","Maroela Road (R101)","398","134","3","20","18,7411576134","-33,8456139861","18,7374977392","-33,8473265717"
"Slow traffic","Masimini Street","Mhlazana Crescent","106","96","1","6","18,7424625081","-33,8578328022","18,7423753363","-33,8571126637"
"Queuing traffic","Khwababa Street / Njenjese Street","Khwababa Street / Mabindisa Crescent","248","149","2","16","18,7453069907","-33,8423644970","18,7468640131","-33,8429907766"
"Stationary traffic","Steynsrust Road (Broadway Boulevard)","M9 (Broadway Boulevard)","341","166","3","4","18,8267334920","-34,0665073264","18,8254446906","-34,0693826369"
"Stationary traffic","Merriman Avenue (Bird Street)","Adam Tas Street (Bird Street)","733","418","3","22","18,8581716639","-33,9309726025","18,8554559273","-33,9247780947"
"Stationary traffic","Helshoogte Road (Molteno Street)","Bird Street (Molteno Street)","155","128","3","3","18,8588945192","-33,9284365865","18,8573227448","-33,9289341287"
"Stationary traffic","Alexander Street (Bird Street)","Merriman Avenue (Bird Street)","209","160","3","8","18,8593545181","-33,9340477814","18,8587255401","-33,9322573772"
"Queuing traffic","Berg River Boulevard S (Main Street)","Market Street (Main Street)","929","194","2","25","18,9620214326","-33,7524474785","18,9622749013","-33,7441098008"
"Stationary traffic","Main Street (R45)","Main Street (R45) / Hartford Street","263","192","3","2","18,9607245845","-33,7657378439","18,9635663850","-33,7658008347"
"Queuing traffic","Main Street","Berg River Boulevard S (R45)","250","76","2","9","18,9649785680","-33,7501166317","18,9676352960","-33,7496794471"
"Queuing traffic","Paarl [59]","Paarl SP2","792","134","2","25","18,9808250589","-33,7586179056","18,9872838182","-33,7541211609"
"Stationary traffic","Johannes Street","Pelikaan Street","221","162","3","4","18,9904313905","-33,6566201964","18,9909557623","-33,6546822769"
"Stationary traffic","Jasmyn Street","Titus Street","282","331","3","11","18,9956174416","-33,7229029593","18,9925905687","-33,7227071296"
"Stationary traffic","Rand Street","Mbekweni","88","110","3","2","19,0028594059","-33,6844923546","19,0025710685","-33,6837386742"
"Slow traffic","Harper Street","Solomon Street","300","141","1","5","19,0007646007","-33,7311601636","19,0034038944","-33,7309897964"
"Stationary traffic","Paarl [62A]","Drakenstein","109","66","3","6","19,0178730709","-33,7419775106","19,0189016981","-33,7424401746"
"Slow traffic","Santa Rosa Crescent","Santa Rosa Crescent","548","158","1","15","19,1016921026","-33,8924131843","19,1011878473","-33,8928691908"
