"Event","From","To","LengthMeters","DelaySeconds","Magnitude","PointCount","StartLongitude","StartLatitude","EndLongitude","EndLatitude"
"Queuing traffic","Hillview Road","Klipfontein Road (M18) / Eike Avenue","167","64","2","5","18,4997145456","-33,9576230821","18,4992800277","-33,9590647148"
"Queuing traffic","Milner Road (Kromboom Road)","Jan Smuts Drive (Kromboom Road)","1071","258","2","24","18,4933402758","-33,9724181231","18,5048576813","-33,9736666827"
"Stationary traffic","Lansdowne Road / Flamingo Crescent","Rompe Street","331","181","3","3","18,5048684102","-33,9909105983","18,5042541843","-33,9938181457"
"Stationary traffic","Wandsworth Way","Wood Drive","361","153","3","10","18,5072274130","-33,8009565838","18,5033382099","-33,8010276284"
"Stationary traffic","Zeus Drive","Koeberg Road (M5) / Freedom Way","129","82","3","3","18,5080280524","-33,8712707016","18,5075680536","-33,8723649948"
"Queuing traffic","Century Way","North Bank Lane","323","163","2","33","18,5107102614","-33,8887747854","18,5106445473","-33,8910143965"
"Queuing traffic","Charente Crescent / Tourmalet Street","Koeberg Road / Tryall Road","915","211","2","19","18,5124858838","-33,7876541269","18,5132918876","-33,7897475946"
"Stationary traffic","Century City","Waterstone Isles Road","57","65","3","2","18,5146101933","-33,8859074852","18,5148985308","-33,8863634569"
"Stationary traffic","Bridge Place","Century City Drive (N1)","157","150","3","5","18,5173219066","-33,8908320319","18,5161631923","-33,8918647069"
"Queuing traffic","Ventura Street","Glider Crescent / Lugmag Avenue","203","136","2","5","18,5216670852","-33,9027303445","18,5200644654","-33,9024419822"
"Slow traffic","New Ottery Road (Ottery Road)","Strandfontein Road (Ottery Road)","937","136","1","48","18,5160652917","-34,0203880786","18,5233474892","-34,0243738275"
"Queuing traffic","Beak Road","Caracara Street","231","80","2","9","18,5261101645","-34,0614218478","18,5239657384","-34,0613508118"
"Slow traffic","Rhodes Street","Reuben Beyile Street","461","140","1","16","18,5293167454","-33,9464959088","18,5323556882","-33,9476452098"
"Stationary traffic","Strandfontein Road (M17)","Schaap Road","308","189","3","6","18,5297244411","-34,0532156544","18,5330195349","-34,0527422427"
"Stationary traffic","Rylands Road","Klipfontein Road (M18) / Petunia Road","135","143","3","4","18,5330034416","-33,9693805473","18,5334312540","-33,9682218078"
"Stationary traffic","King Langalibalele Street","Zone 14 Road","246","153","3","7","18,5364339870","-33,9454230099","18,5365332287","-33,9432168843"
"Queuing traffic","Mnandi Road","Potsdam Road (M5) / Winning Way","438","277","2","17","18,5400724035","-33,8187034171","18,5369529944","-33,8158012422"
"Slow traffic","Mnandi Road","Curry Street","168","109","1","5","18,5400750857","-33,8237566921","18,5408328098","-33,8223820565"
"Stationary traffic","Sxosh Jali Crescent","Sxosh Jali Crescent","34","69","3","4","18,5408341509","-33,8150502471","18,5404894870","-33,8149456476"
"Stationary traffic","Gousblom Street","Gousblom Street","109","329","3","22","18,5405578833","-33,8141839203","18,5408341509","-33,8150502471"
"Stationary traffic","Potsdam Road (M5) / Stables Way","Waxberry Street","175","147","3","15","18,5403862220","-33,8120166721","18,5414403301","-33,8133014279"
"Queuing traffic","Ngena Street","Curry Street","178","140","2","5","18,5416307669","-33,8209282932","18,5408328098","-33,8223820565"
"Queuing traffic","Siyabonga Street","Newcastle Street","292","157","2","8","18,5393213850","-33,8217932982","18,5416911166","-33,8231182946"
"Slow traffic","Potsdam Road (M5)","Dumani Road","429","157","1","9","18,5420854014","-33,8151655709","18,5401582342","-33,8186738910"
"Slow traffic","Mcclaren Drive / Mclaren Drive","Ngena Street","729","323","1","31","18,5363240164","-33,8154713595","18,5422061008","-33,8194933070"
